bccgcoD_0;bpaadD_0;bpcgrU_0;bpcinV_0;bpcnuM_0;bprnaM_0;crN_0;credattiM_0;ctY_0;cuR_0;naF_0;ostauZ_0;ptE_0;reP_0;reP_1;teL_0;tsccoD_0;upddattiM_0;vacbpR_0
;01;4111ANSAMBLE;4111ANSAMBLE;4111ANS-BPASCAL;ANSAMBLE BLAISE PASCAL CI; ;2022-06-02T04:40:05; ;XOF; ;50000000.0;CHFM10;SERGEMOTTO;OLGA; ;100;2025-01-09T23:41:31;NOR
;01;4111ANSAMBLE;4111ANSAMBLE;4111ANS-CIE;ANSAMBLE CIE COTE D'IVOIRE; ;2022-06-02T04:36:18; ;XOF; ;50000000.0;CHFM10;SERGEMOTTO;OLGA; ;100;2025-01-09T23:41:31;NOR
;01;4111ANSAMBLE;4111ANSAMBLE;4111ANS-CIPREL;ANSAMBLE CIPREL COTE D'IVOIRE; ;2022-06-02T04:37:46; ;XOF; ;50000000.0;CHFM10;SERGEMOTTO;OLGA; ;100;2025-01-09T23:41:31;NOR
;C1;4111ANSAMBLE;4111ANSAMBLE;4111ANS-CME;ANSAMBLE CME; ;2025-04-11T05:35:08;ABIDJAN;XOF; ;0.0;CHFM10;SERGEMOTTO;OLGA; ;100;2025-04-11T05:35:08;NOR
;C1;4111ANSAMBLE;4111ANSAMBLE;4111ANS-FLEMMIN;ANSAMBLE FLEMMING; ;2025-04-11T06:14:46;ABIDJAN;XOF; ;0.0;CHFM10;SERGEMOTTO;OLGA; ;100;2025-04-11T06:14:46;NOR
;C1;4111ANSAMBLE;4111ANSAMBLE;4111ANS-GESTOCI;ANSAMBLE GESTOCI ; ;2025-04-12T04:35:59;ABIDJAN;XOF; ;0.0;CHFM10;SERGEMOTTO;OLGA; ;100;2025-04-12T04:35:59;NOR
;C1;4111ANSAMBLE;4111ANSAMBLE;4111ANS-HME;ANSAMBLE HME HOPITAL; ;2025-04-12T04:41:47;ABIDJAN;XOF; ;0.0;CHFM10;SERGEMOTTO;OLGA; ;100;2025-04-12T04:41:47;NOR
;C1;4111ANSAMBLE;4111ANSAMBLE;4111ANS-NEEMBA;ANSAMBLE NEEMBA; ;2025-04-11T05:53:21;ABIDJAN;XOF; ;0.0;CHFM10;SERGEMOTTO;OLGA; ;100;2025-04-11T05:53:21;NOR
;01;4111ANS-SEMIEN;4111ANSAMBLE;4111ANS-SEMIEN;ANSAMBLE SEMIEN; ;2022-06-02T04:34:37; ;XOF; ;0.0;CHFM10;SERGEMOTTO;OLGA; ;100;2024-12-06T20:22:03;NOR
;01;4111ANS-TANDA;4111ANSAMBLE;4111ANS-TANDA;ANSAMBLE COTE D'IVOIRE TANDA; ;2022-06-28T04:03:14; ;XOF; ;0.0;CHFM10;SERGEMOTTO;SERGEMOTTO; ;100;2024-05-13T00:09:51;NOR
;01;4111ANS-VONKORO;4111ANSAMBLE;4111ANS-VONKORO;ANSAMBLE COTE D'IVOIRE VONKORO; ;2022-06-28T04:04:32; ;XOF; ;0.0;CHFM10;SERGEMOTTO;SERGEMOTTO; ;100;2024-05-13T00:09:51;NOR
;01;4111ANSAMBLE;4111ANSAMBLE;4111ANSAMBLE;A.C.S COTE D'IVOIRE;CIABJ03-2012-B12;2022-04-23T03:38:44; ;XOF;1348695Q;50000000.0;FRCHQ30FM15;SERGEMOTTO;OLGA; ;100;2025-06-30T21:47:12;NOR
;01;4111AOBKAR;4111AOBKAR;4111AOBKAR;EL AOBKAR ELIE HADIFE; ;2022-09-13T19:31:33; ;XOF; ;2000000.0;CC1;DABA;OLGA;0777775353;400;2025-05-22T23:31:18;NOR
;01;4111APIA-MARIE;4111APIA-MARIE;4111APIA-MARIE;APIA MARIE CHANTAL; ;2023-01-31T05:45:05;ABIDJAN;XOF; ;3000000.0;CC1;HYACINTHEK;OLGA; ;300;2025-05-14T06:26:26;AIRSI
;01;4111APPART-HOT;4111APPART-HOT;4111APPART-HOT;APPART HOTEL;CI-ABJ-2016-B-23532;2022-03-23T22:12:52; ;XOF;1644942G;10000000.0;CHFM10;OLGA;OLGA;0700683707;400;2024-12-13T21:32:24;NOR
;01;4111AQUAFISH;4111AQUAFISH;4111AQUAFISH;AQUAFISH; ;2022-02-23T00:19:49;ABIDJAN;XOF; ;2000000.0;CC1;SYNA;OLGA; ;300;2024-05-13T00:09:51;AIRSI
;C1;4111ARAMA;4111ARAMA;4111ARAMA;ARAMA DAOUDA; ;2023-11-07T21:43:43;ABIDJAN;XOF; ;10000000.0;CC1;KANI;OLGA; ;300;2024-08-10T05:24:00;AIRSI
;C2;4111ARRAFI;4111ARRAFI;4111ARRAFI;AR-RAFI SERVICES ET PRESTATIONS ;CI-SAP2021B113;2025-02-20T23:35:18;SAN-PEDRO;XOF;216365V;1500000.0;CC1;SERGEMOTTO;OLGA;0707326431;100;2025-02-21T00:16:57;AIRSI
;C1;4111ARRAWO;4111ARRAWO;4111ARRAWO;ARRAWO CONSTANT NICAISE ; ;2023-09-14T23:42:50;ABIDJAN;XOF; ;5000000.0;CC1;KANI;OLGA; ;300;2024-08-31T20:18:20;AIRSI
;01;4111ARSENE;4111ARSENE;4111ARSENE;KOUADIO ARSENE; ;2021-08-24T21:51:18; ;XOF; ;3000000.0;CC1;SYNA;SYNA;0747930513;300;2024-05-13T00:09:51;AIRSI
;01;4111ART-DE-VIVR;4111ART-DE-VIVR;4111ART-DE-VIVR;L'ART DE VIVRE; ;2022-02-09T00:08:59; ;XOF; ;1000000.0;CH15JFIN15;DABA;OLGA; ;400;2025-05-14T00:22:44;NOR
;C1;4111ARTISAN;4111ARTISAN;4111ARTISAN;COMPTOIR DES ARTISANS; ;2024-09-12T21:53:49; ;XOF; ;2000000.0;CC1;CODJO;OLGA; ;400;2025-05-14T00:17:48;AIRSI
;01;4111ASSBEACH;4111ASSBEACH;4111ASSBEACH;HOTEL ASSINIE BEACH;CI-ABJ-2018-A-348;2021-11-26T01:30:04; ;XOF;1014280Z;1000000.0;CC1;ASSAMOI;OLGA; ;400;2025-03-13T17:28:51;NOR
;01;4111ASSOUMOU;4111ASSOUMOU;4111ASSOUMOU;ASSOUMOU AFOUA MARIE NINA; ;2023-03-11T02:43:55;ABIDJAN;XOF; ;8000000.0;CC1;HYACINTHEK;OLGA; ;300;2024-05-13T00:09:51;AIRSI
;02;4111ASSOYAM;4111ASSOYAM;4111ASSOYAM;ASSOYAM BEACH;137763;2022-07-20T03:00:03; ;XOF;8905448P;1500000.0;CH15DFAC;ASSAMOI;OLGA;0767450957;400;2025-07-04T05:39:59;NOR
;C1;4111ATHENA;4111ATHENA;4111ATHENA;ATHENA INC;CIABJ 2016-B-6766;2025-02-12T23:14:07;ABIDJAN;XOF;1614143Z;50000000.0;FRCHQ30FAC;BAMBA;OLGA;070910364;100;2025-03-12T22:53:35;AIRSI
;01;4111ATS;4111ATS;4111ATS;ATS CI;CI-BKE-2015-B-4834;2021-10-05T20:18:16;ABIDJAN;XOF;0915785W;50000000.0;FRCHQ30FM10;SERGEMOTTO;OLGA; ;100;2025-06-12T20:32:28;NOR
;01;4111ATS;4111ATS;4111ATS-AGBAOU;ATS AGBAOU;CI-BKE-2015-B-4834;2022-05-11T03:56:44;ABIDJAN;XOF;0915785W;3000000.0;FRCHQ30FM10;SERGEMOTTO;OLGA; ;100;2025-06-12T22:07:56;NOR
;01;4111ATS;4111ATS;4111ATS-AGOLO;ATS AGOLD;CI-BKE-2015-B-4834;2022-05-11T03:53:32;ABIDJAN;XOF;0915785W;500000.0;FRCHQ30FM10;SERGEMOTTO;OLGA; ;100;2025-06-12T21:48:33;NOR
;01;4111ATS;4111ATS;4111ATS-BOXGOLD;ATS BOXGOLD;CI-BKE-2015-B-4834;2022-05-11T03:59:13;ABIDJAN;XOF;0915785W;0.0;FRCHQ30FM10;SERGEMOTTO;OLGA; ;100;2025-06-12T22:08:39;NOR
;01;4111ATS;4111ATS;4111ATS-EMSA;ATS EMSA;CI-BKE-2015-B-4834;2022-05-11T03:51:37;ABIDJAN;XOF;0915785W;0.0;FRCHQ60-;SERGEMOTTO;OLGA; ;100;2024-12-17T05:06:35;NOR
;C1;4111ATS;4111ATS;4111ATS-FETEKRO;ATS FETEKRO;CI-BKE-2015B4834;2024-08-02T22:28:31;ABIDJAN;XOF;0915785W;0.0;FRCHQ30FAC;SERGEMOTTO;OLGA;0708204274;100;2024-08-02T22:32:11;NOR
;01;4111ATS;4111ATS;4111ATS-ITY;ATS ITY;CI-BKE-2015-B-4834;2022-05-11T04:00:38;ABIDJAN;XOF;0915785W;0.0;FRCHQ30FM10;SERGEMOTTO;OLGA; ;100;2025-06-12T22:08:58;NOR
;01;4111ATS;4111ATS;4111ATS-ROXGOLD;ATS ROX GOLD;CI-BKE-2015-B-4834;2022-06-22T00:50:20;ABIDJAN;XOF;0915785W;700000.0;FRCHQ30FM10;SERGEMOTTO;SERGEMOTTO; ;100;2025-06-12T22:09:11;NOR
;01;4111ATS;4111ATS;4111ATS-SISSING;ATS SISSINGUE;CI-BKE-2015-B-4834;2022-06-22T00:52:22;ABIDJAN;XOF;0915785W;0.0;FRCHQ30FM10;SERGEMOTTO;SERGEMOTTO; ;100;2025-06-12T22:07:25;NOR
;C1;4111ATS;4111ATS;4111ATS-TANDAGO;ATS TANDA GONTOUGOU;CI-BKE-2015B-4834;2024-08-02T23:55:46;ABIDJAN;XOF;0915785W;0.0;FRCHQ30FAC;SERGEMOTTO;OLGA;0708204274;100;2024-08-02T23:55:46;NOR
;01;4111ATS;4111ATS;4111ATS-TIETTO;ATS CI TIETTO;CI-BKE-2015-B-4834;2022-06-18T04:00:58;ABIDJAN;XOF;0915785W;3500000.0;FRCHQ30FM10;SERGEMOTTO;SERGEMOTTO; ;100;2025-06-12T22:09:32;NOR
;C1;4111ATS;4111ATS;4111ATS-TURACO;ATS TURACO;CIBKE2015B4834;2024-08-14T21:31:06;ABIDJAN;XOF;09-15785W;0.0;FRCHQ30FM10;SERGEMOTTO;OLGA;0708204274;100;2025-06-12T22:09:45;NOR
;01;4111ATS-YAOURE;4111ATS;4111ATS-YAOURE;ATS YAOURE;CI-BKE-2015-B-4834;2022-05-11T03:29:25;ABIDJAN;XOF;0915785W;700000.0;FRCHQ60;SERGEMOTTO;OLGA; ;100;2025-06-12T22:26:54;NOR
;C2;4111ATSEAFFECHI;4111ATSEAFFECHI;4111ATSEAFFECHI;ATSE AFFECHIA HONORA;CI-ADZ02P798;2025-04-25T04:01:08;ADZOPE;XOF;2213662G;700000.0;CC1;OLGA;OLGA; ;100;2025-06-12T22:27:04;AIRSI
;01;4111ATTAHIROU;4111ATTAHIROU;4111ATTAHIROU;ATTAHIROU MAHAMADOU; ;2023-01-18T04:04:32;ADJAME;XOF; ;10000000.0;ES1;HYACINTHEK;OLGA; ;300;2024-09-18T00:28:50;AIRSI
;C2;4111ATTIEKECIGA;4111ATTIEKECIGA;4111ATTIEKECIGA;ATTIEKE CIGAR;CIBAS012024A1007409;2025-06-21T06:17:56;ABIDJAN;XOF;2404549H;0.0;CC1;ASSAMOI;OLGA;0140260156;400;2025-07-04T03:46:43;AIRSI
;C2;4111ATTIKORA;4111ATTIKORA;4111ATTIKORA;ROSE ADJOA ATTIKORA; ;2024-02-27T22:54:17;BONGOUANOU;XOF; ;20000000.0;CC1;BAMBA;OLGA;0757023795;300;2025-02-03T21:16:39;AIRSI
;01;4111AURA;4111AURA;4111AURA;HOTEL AURA BEACH; ;2021-11-26T07:07:10; ;XOF; ;1000000.0;CC1;ASSAMOI;OLGA; ;400;2024-08-13T06:58:53;NOR
;C1;4111AYA;4111AYA;4111AYA;AYA PROMAX SARL;CI-ABJ-03B1301975;2023-09-08T21:44:57;ABIDJAN TREICHVILLE;XOF;2300773U;500000.0;CC1;CODJO;OLGA; ;200;2024-07-19T23:51:34;AIRSI
;C1;4111AYENOU;4111AYENOU;4111AYENOU;AYENOU ENTREPRISES; ;2024-12-18T21:57:17;ABIDJAN;XOF; ;500000.0;CH15DFAC;CODJO;OLGA; ; ;2024-12-18T22:45:08;AIRSI
;01;4111AZUR;4111AZUR;4111AZUR;SUPERETTE AZUR;CI-GBDBSM-2021-A-874;2022-03-03T06:43:49; ;XOF; ;250000.0;CC1;TOURE;OLGA; ;200;2025-02-12T05:30:40;AIRSI
;C1;4111B8V;4111B8V;4111B8V;B8V; ;2024-10-05T21:48:14;ABIDJAN;XOF;2301862E;500000.0;CH1;CODJO;OLGA;0707179201;400;2025-07-02T06:26:49;AIRSI
;C1;4111BABAHMED;4111BABAHMED;4111BABAHMED;BABAHMED OULD HASSENE;CI-ABJ032013A1100286;2023-08-04T22:42:47;YOPOUGON;XOF;2302193L;2000000.0;CC1;PHILGENCE;OLGA; ;200;2024-08-23T05:30:53;AIRSI
;01;4111BABIHANA;4111BABIHANA;4111BABIHANA;LES MARINES DE BABIHANA; ;2021-11-30T00:38:16;ASSINIE;XOF; ;1500000.0;CH15JFIN15;ASSAMOI;OLGA; ;400;2025-04-28T23:15:00;NOR
;C1;4111BACHIP;4111BACHIP;4111BACHIP;BACHIP; ;2024-06-06T20:40:08;ABIDJAN;XOF; ;1500000.0;CH10;CODJO;OLGA;0708980606;400;2025-04-03T21:54:54;AIRSI
;C1;4111BAH;4111BAH;4111BAH;BAH MAMADOU HASSIMOU; ;2023-11-07T21:18:21;TREICHVILLE;XOF; ;5000000.0;CC1;KANI;OLGA; ;300;2024-09-18T04:14:20;AIRSI
;01;4111BAHIA;4111BAHIA;4111BAHIA;LE BAHIA HOTEL; ;2021-11-26T07:04:37; ;XOF; ;1000000.0;CC1;ASSAMOI;OLGA; ;400;2024-12-25T03:27:23;NOR
;C2;4111BAIE-SIRENE;4111BAIE-SIRENE;4111BAIE-SIRENE;LES TROIS SIRENES;CI-ABJ-2015-B-2718;2024-07-03T21:11:25;GRAND BEREBY;XOF;1640213M;10000000.0;CHFM10;OLGA;OLGA;0707254492;400;2025-05-27T05:57:25;NOR
;C1;4111BALUGA;4111BALUGA;4111BALUGA;LE BALUGA;CIABJ032023B1200941;2024-05-24T22:54:56;ABIDJAN;XOF;2300647K;1500000.0;CH15DFAC;ASSAMOI;OLGA;0747558615;400;2025-01-15T23:35:17;AIRSI
;01;4111BAMBA;4111BAMBA;4111BAMBA;BAMBA MICHEL; ;2021-05-14T21:22:20; ;XOF; ;2000000.0;CC1;SYNA;SYNA; ;300;2024-05-13T00:09:51;AIRSI
;C2;4111BAMIDELE;4111BAMIDELE;4111BAMIDELE;BAMIDELE RAJI SALAMOTOU; ;2024-03-15T23:33:19;BONGOUANOU;XOF; ;2000000.0;CC1;KANI;OLGA;0585880162;300;2025-01-29T23:33:53;AIRSI
;C1;4111BANGO;4111BANGO;4111BANGO;BANGO AMENAN MARIE; ;2023-09-09T23:18:27;ABIDJAN;XOF; ;5000000.0;ES1;HYACINTHEK;HYACINTHEK; ;300;2024-05-13T00:09:51;AIRSI
;01;4111BANIAN;4111BANIAN;4111BANIAN;RESTAURANT BANIAN;CI-ABJ-2010-B-5479;2021-09-21T21:38:40;ABIDJAN;XOF;1101492P;3000000.0;CHFM10;CODJO;OLGA; ;400;2025-05-14T02:22:18;NOR
